gene	p_ebm	n_pep	abun	l2fc	color
Foxo3	1.564439953936082e-6	3	132.29339761249997	-1.1721589172376417	#BB1111
Foxp1	0.22320667620940948	12	697.4767953137	-0.11484732353043772	#C9C9C9
Foxp4	0.4106378052702411	5	372.150420781	-0.10794759296242074	#C9C9C9
Foxred1	0.00322031438718459	6	539.7141173882	0.26290073223130317	#CCCCFF
Foxred2	0.0010811490661190748	3	101.2067020537	-0.40302841311509396	#FFCCCC
Fpgs	0.9369790269216134	5	398.4848834172	-0.03610404403992495	#C9C9C9
Fpgt	1.6891123506592693e-8	5	305.9969947682	-1.1857586751484368	#BB1111
Fra10ac1	4.825213837867634e-5	4	261.90793005570004	-0.6820425601348401	#FFCCCC
Frg1	0.2606589447125039	5	432.9091914218	0.1077658860797803	#C9C9C9
Frmd4a	1.2115986573021111e-4	6	370.8347164191	-0.5880139575975422	#FFCCCC
Frmd4b	4.784476800244534e-4	2	122.8537426189	-0.8107369181803831	#FFCCCC
Frmd5	0.003498104472625074	6	693.5045333964999	0.04152181760781944	#CCCCFF
Frmd6	2.7136728183955833e-6	4	663.1234786013	0.5637475896137775	#1111BB
Frmd8	0.0047885783486166875	4	255.249072618	-0.31974942446765775	#FFCCCC
FRRS1	1.3805981789022077e-5	6	1125.1575223386	0.408667480835202	#CCCCFF
Frs2	0.006149900081762874	7	493.1966103317	0.27758296185914455	#CCCCFF
Fry	7.415015531624895e-8	4	124.6111873967	-0.05546510367135403	#BB1111
Fryl	5.355230335471309e-5	3	468.7286450867	-0.580799415168736	#FFCCCC
Fscn1	0.028513161466837602	6	602.5825370711	-0.2711851991228912	#FFCCCC
