gene	p_ebm	n_pep	abun	l2fc	color
Ahsa2	0.1933686521835858	2	197.5425931202	0.2699080700372332	#C9C9C9
Aida	0.003494803055224909	4	292.896160931	-0.26165472186843186	#FFCCCC
Aif1l	0.047121000428152975	2	230.41795703140002	-0.1203284770966605	#FFCCCC
Aifm1	0.0072492119613788535	5	450.3989976158	-0.2556744793954491	#FFCCCC
Aifm2	0.2623284635728992	9	572.8020569544	0.11691147229748991	#C9C9C9
Aim2	0.39056570361173	5	901.6101576198	0.06640345426073883	#C9C9C9
Aimp1	0.8394806826064718	4	533.4290472949	-0.04779299750227374	#C9C9C9
Aimp2	0.06916958738164067	4	217.59967360960002	0.1263302986030764	#C9C9C9
Aip	0.16066997863955942	6	579.3406406953	0.16099994720413605	#C9C9C9
Ak1	0.021395995641612618	4	412.7286790308	0.20645282796818717	#CCCCFF
Ak2	0.005164573689269387	4	821.3298872496	-0.34040637150636815	#FFCCCC
Ak3	0.03566713604454018	4	450.3978922774	-0.19341809111491085	#FFCCCC
Ak4	0.007324915240857701	6	444.7974232272	-0.21504919872891853	#FFCCCC
Ak6	0.18227146689728146	5	450.899723162	0.10086063686132685	#C9C9C9
Akap1	0.007916863561000475	7	829.9093703273	-0.22943964580821843	#FFCCCC
Akap10	0.37344858426941097	4	206.6124511544	0.09562241718800396	#C9C9C9
Akap11	0.1444880046384604	7	643.0669368055	-0.1335265628910734	#C9C9C9
Akap12	0.3823921917266885	6	603.8970088025	0.10241647389318564	#C9C9C9
Akap13	0.38252303345579086	3	218.4568568228	-0.11808153865493562	#C9C9C9
Akap17b	0.9549651348241603	1	25.6236678866	0.008494242592729651	#C9C9C9
Akap5	0.04422422440221085	1	52.3709174764	-0.1664609497347511	#FFCCCC
Akap7	0.572388713429252	7	621.0726409717	-0.06420906389155966	#C9C9C9
Akap8	0.019642873727949244	5	437.0912409339	-0.203795919110598	#FFCCCC
Akap8l	0.6300737739455067	5	266.8247642641	-0.01908475969786754	#C9C9C9
Akap9	0.7101279814056369	9	705.8669185333	7.11098261206012e-4	#C9C9C9
Akirin2	0.3045325874541112	3	334.8873930148	0.049381616265598775	#C9C9C9
Akr1a1	0.011299085263939752	3	111.3219442721	0.21115149961674554	#CCCCFF
Akr1b1	0.0075439868252249725	6	754.4070433563	0.1836644119256962	#CCCCFF
Akr1b10	0.4918329485529634	6	462.3815514836	0.09878205320421486	#C9C9C9
Akr1b7	0.14815154633553887	6	689.0205946922999	0.12457669657928469	#C9C9C9
Akr1b8	0.12025039996564216	5	502.6063038599	0.24669543577294414	#C9C9C9
Akr1c12	0.47227804642634136	2	249.6781197199	0.1490332758307029	#C9C9C9
Akr1c13	0.162015555787354	7	896.6515996568	0.12323782460358629	#C9C9C9
Akr1e2	0.024207170730269505	4	285.7610750078	0.2075640412738574	#CCCCFF
Akr7a2	0.42467839702198257	5	434.3499899326	0.06644789812171462	#C9C9C9
Akt1	0.20521333352483376	2	154.2809489972	0.08601912793055158	#C9C9C9
Akt1s1	0.36503385171970515	2	382.7790136317	0.056194839578488046	#C9C9C9
Akt2	0.12502444024790035	5	761.8392896688	0.10328891065808755	#C9C9C9
Akt3	0.06448703486556154	5	809.61048825	0.11409341124595615	#C9C9C9
Aktip	0.45114211349564237	3	233.6073905045	0.08724873677595144	#C9C9C9
Alad	0.07752372976677897	7	434.170279383	0.15217292220035972	#C9C9C9
Alas1	0.1929054685323299	2	88.35205239609999	-0.14654569245247664	#C9C9C9
Aldh16a1	0.5596999449627945	5	595.7657429445001	0.07888131249152583	#C9C9C9
Aldh18a1	0.02974265178663826	8	515.4577910758	0.1579895185841282	#CCCCFF
Aldh1b1	0.08865327219787061	7	490.06747503590003	-0.20206681415342997	#C9C9C9
Aldh1l2	0.0010975926067206812	6	924.921228752	0.33903982634602725	#CCCCFF
Aldh2	0.08484719084663503	5	692.3722477773	-0.13082379480833636	#C9C9C9
Aldh3a2	0.27614018640368826	5	321.4868461403	0.013191718511513831	#C9C9C9
Aldh3b1	0.0010581978792014483	11	1003.4676091617999	-0.3213405080520046	#FFCCCC
Aldh4a1	0.02615727987761728	7	556.6137309061	-0.17207017774916356	#FFCCCC
Aldh5a1	0.06479416968098732	3	309.5925576025	-0.12693828441943794	#C9C9C9
Aldh6a1	0.024571633516528423	3	131.4074257885	-0.19836331451620975	#FFCCCC
Aldh7a1	0.06933306579037321	7	801.4258076892	0.13625019288515217	#C9C9C9
Aldh9a1	0.2951722736241115	5	643.4304790142	0.11128780633842725	#C9C9C9
Aldoa	0.04646328416083685	4	439.9286945161	0.2613680146594054	#CCCCFF
Aldoart1	0.03649238377917239	8	486.8969499522	0.19135817303321861	#CCCCFF
Aldoc	0.08364898471976459	5	289.1654653008	0.21502268033168356	#C9C9C9
Alg1	0.08295156346087089	5	1062.777303008	-0.14821213468068295	#C9C9C9
Alg10b	0.30544217166034965	3	498.566612028	-0.14458100118981157	#C9C9C9
Alg11	0.4434645780054694	5	628.7246663454	-0.040467967600132375	#C9C9C9
Alg12	0.05631658054352068	2	288.0613074528	-0.15816647421698832	#C9C9C9
Alg13	0.1277903845774669	4	313.7443673806	-0.12345777334282267	#C9C9C9
Alg14	0.038014495047196686	7	349.928689948	-0.21148672091763576	#FFCCCC
Alg2	0.32208107120968676	5	566.6090478877	-0.13245152653593803	#C9C9C9
Alg3	0.029530556997075512	3	453.3531289934	-0.2691053107620709	#FFCCCC
Alg5	0.5433988459605633	4	422.691377572	-0.07540352815646571	#C9C9C9
Alg6	0.1768984133279507	4	495.712264316	-0.009966020685296754	#C9C9C9
Alg8	0.16252951572544005	5	433.1721264902	-0.1166436844931545	#C9C9C9
Alg9	0.0036543249153567353	6	488.7705620336	-0.33896985618604136	#FFCCCC
Alk	0.4926011312273721	6	258.48400547	-0.06735939095633972	#C9C9C9
Alkbh1	0.005941432674903751	5	454.66548186939997	-0.1900605339593601	#FFCCCC
Alkbh2	0.766864769869609	3	247.8751296129	0.04694937404898843	#C9C9C9
Alkbh3	0.05702248946864635	4	221.5127100684	0.17953236671650508	#C9C9C9
Alkbh4	0.6158346632711762	3	185.8007699358	0.058491160600978045	#C9C9C9
Alkbh5	0.05822631976379106	6	539.6526782587	-0.07751120139040182	#C9C9C9
Alkbh6	0.4271713122192677	2	182.0985285978	0.054171734762424595	#C9C9C9
Alkbh7	2.438900911609196e-4	5	175.8085822325	-0.43723972886280227	#FFCCCC
Alkbh8	0.15032024301863003	7	411.9254142015	0.10869862687709694	#C9C9C9
Alms1	0.022773379792090254	8	509.677086353	-0.18251814244578024	#FFCCCC
Als2	0.4117120493849484	2	138.9418533035	0.004215326777382233	#C9C9C9
Alyref	0.3098955169671431	5	333.1883555193	-0.17997896161811922	#C9C9C9
Alyref2	0.15652484869372274	4	161.4766042448	-0.15943333818149558	#C9C9C9
Amacr	0.11126022654127111	5	531.8361189432	-0.1532325240026079	#C9C9C9
Ambra1	0.8315022373390105	5	230.2997349831	0.02397067863240134	#C9C9C9
Amd1	0.6330046595716757	3	496.24289988320004	-0.07180091883045588	#C9C9C9
Amdhd2	0.0012106280390388104	6	402.7882697664	0.2757112583771695	#CCCCFF
