acc	gene	location	topology	both
Q9QUI6	Ackr1	Early endosome,Recycling endosome,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Recycling endosome,Membrane
Q99MR0	Actl6b	Nucleus		Nucleus
Q924I3	Ackr4	Early endosome,Recycling endosome,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Recycling endosome,Cell membrane
O08707	Ackr2	Early endosome,Recycling endosome,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Recycling endosome,Cell membrane
Q9QY84	Actl7a	Golgi apparatus,Cytoplasm,Secretory vesicle,Cytoskeleton,Nucleus,Cytoplasmic vesicle,Acrosome		Golgi apparatus,Cytoplasm,Secretory vesicle,Cytoskeleton,Nucleus,Cytoplasmic vesicle,Acrosome
P32211	Chrm4	Postsynaptic cell membrane,Synapse,Cell junction,Cell membrane	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell junction,Cell membrane
Q8R519	Acmsd			
A2AKE7	Actl10			
Q9QY83	Actl7b	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q9ERZ4	Chrm2	Postsynaptic cell membrane,Synapse,Cell junction,Cell membrane	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell junction,Cell membrane
P56485	Ackr3	Early endosome,Recycling endosome,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Recycling endosome,Cell membrane
Q920H4	Chrm5	Postsynaptic cell membrane,Synapse,Cell junction,Cell membrane	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell junction,Cell membrane
Q9DBK0	Acot12	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q91V92	Acly	Cytosol,Cytoplasm		Cytosol,Cytoplasm
A2AKK5	Acnat1	Peroxisome		Peroxisome
Q8BGG9	Acnat2	Peroxisome		Peroxisome
P13516	Scd1	Microsome membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Microsome membrane,Endoplasmic reticulum membrane
Q32MW3	Acot10	Mitochondrion		Mitochondrion
Q9CQR4	Acot13	Mitochondrion,Cytoplasm,Cytoskeleton,Cytosol,Nucleus,Spindle		Mitochondrion,Cytoplasm,Cytoskeleton,Cytosol,Nucleus,Spindle
Q9ERZ3	Chrm3	Postsynaptic cell membrane,Synapse,Cell junction,Cell membrane,Basolateral cell membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell junction,Cell membrane,Basolateral cell membrane,Endoplasmic reticulum membrane
O55137	Acot1	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q8VHQ9	Acot11	Mitochondrion matrix,Cytoplasm		Mitochondrion matrix,Cytoplasm
Q9Z2N8	Actl6a	Nucleus		Nucleus
P12657	Chrm1	Postsynaptic cell membrane,Synapse,Cell junction,Cell membrane	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell junction,Cell membrane
P28271	Aco1	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q9EPL9	Acox3	Peroxisome		Peroxisome
Q9QYR9	Acot2	Mitochondrion matrix		Mitochondrion matrix
Q9R0H0	Acox1	Peroxisome		Peroxisome
Q9QYR7	Acot3	Peroxisome		Peroxisome
Q8BX37	Acp7	Secreted		Secreted
Q99KI0	Aco2	Mitochondrion		Mitochondrion
Q9DBS4	Acoxl			
Q8BWN8	Acot4	Peroxisome		Peroxisome
Q6Q2Z6	Acot5	Peroxisome		Peroxisome
Q32Q92	Acot6	Peroxisome		Peroxisome
Q9CR21	Ndufab1	Mitochondrion		Mitochondrion
Q9QXD1	Acox2	Peroxisome		Peroxisome
P58137	Acot8	Peroxisome matrix		Peroxisome matrix
Q9R0X4	Acot9	Mitochondrion		Mitochondrion
Q3V140	Acrbp	Secreted,Cytoplasmic vesicle,Acrosome,Secretory vesicle		Secreted,Cytoplasmic vesicle,Acrosome,Secretory vesicle
P23578	Acr			
Q9QXG4	Acss2	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q99NB1	Acss1	Mitochondrion matrix		Mitochondrion matrix
Q80WC9	Aasdh			
P41216	Acsl1	Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane,Peroxisome membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Peroxisome membrane,Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane
Q3UNX5	Acsm3	Mitochondrion matrix,Mitochondrion		Mitochondrion matrix,Mitochondrion
Q80W40	Acsm4	Mitochondrion		Mitochondrion
Q8VCW8	Acsf2	Mitochondrion		Mitochondrion
Q9CZW4	Acsl3	Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane,Peroxisome membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Peroxisome membrane,Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane
Q8BGA8	Acsm5	Mitochondrion matrix		Mitochondrion matrix
Q3URE1	Acsf3	Mitochondrion		Mitochondrion
Q9QUJ7	Acsl4	Cell membrane,Peroxisome membrane,Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Cell membrane,Peroxisome membrane,Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane
Q14DH7	Acss3	Mitochondrion matrix		Mitochondrion matrix
Q8BFZ3	Actbl2	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q8JZR0	Acsl5	Mitochondrion,Cell membrane,Mitochondrion outer membrane,Endoplasmic reticulum,Endoplasmic reticulum membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Mitochondrion,Cell membrane,Mitochondrion outer membrane,Endoplasmic reticulum,Endoplasmic reticulum membrane
P60710	Actb	Cytoskeleton,Nucleus,Cytoplasm		Cytoskeleton,Nucleus,Cytoplasm
Q64326	Mc2r	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P62737	Acta2	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
P63260	Actg1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
P68033	Actc1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q8CG27	Actl9	Perinuclear theca,Cytoplasm,Secretory vesicle,Cytoskeleton,Cytoplasmic vesicle,Acrosome		Perinuclear theca,Cytoplasm,Secretory vesicle,Cytoskeleton,Cytoplasmic vesicle,Acrosome
Q7TPR4	Actn1	Cell projection,Cytoplasm,Cytoskeleton,Z line,Sarcomere,Cell membrane,Cell junction,Ruffle,Myofibril		Cell projection,Cytoplasm,Cytoskeleton,Z line,Sarcomere,Cell membrane,Cell junction,Ruffle,Myofibril
Q91WC3	Acsl6	Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane,Peroxisome membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Peroxisome membrane,Mitochondrion outer membrane,Microsome membrane,Endoplasmic reticulum membrane
P63268	Actg2	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q9JI91	Actn2	Sarcomere,Z line,Cytoplasm,Myofibril		Sarcomere,Z line,Cytoplasm,Myofibril
Q91VA0	Acsm1	Mitochondrion matrix,Mitochondrion		Mitochondrion matrix,Mitochondrion
O88990	Actn3			
Q8K0L3	Acsm2	Mitochondrion		Mitochondrion
P68134	Acta1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
P57780	Actn4	Stress fiber,Cytoplasm,Cytoskeleton,Nucleus,Perinuclear region,Cell junction		Stress fiber,Cytoplasm,Cytoskeleton,Nucleus,Perinuclear region,Cell junction
Q8R5C5	Actr1b	Microtubule organizing center,Cytoskeleton,Centrosome,Cytoplasm		Microtubule organizing center,Cytoskeleton,Centrosome,Cytoplasm
Q9D9J3	Actrt1	Cytoskeleton,Nucleus,Cytoplasm		Cytoskeleton,Nucleus,Cytoplasm
P61164	Actr1a	Centrosome,Cytoplasm,Cell cortex,Microtubule organizing center,Cytoskeleton		Centrosome,Cytoplasm,Cell cortex,Microtubule organizing center,Cytoskeleton
Q61271	Acvr1b	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9D9L5	Actrt2	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q8R3P0	Aspa	Nucleus,Cytoplasm		Nucleus,Cytoplasm
P56376	Acyp1			
Q8BXF8	Actrt3	Cytoskeleton,Nucleus,Cytoplasm		Cytoskeleton,Nucleus,Cytoplasm
Q8K348	Acvr1c	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q91XE4	Acy3	Apical cell membrane,Cytoplasm	Peripheral membrane protein	Apical cell membrane,Cytoplasm,Peripheral membrane protein
P56375	Acyp2			
Q61288	Acvrl1	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9R1V4	Adam11	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q99JW2	Acy1	Cytoplasm		Cytoplasm
Q9JI76	Adam21	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q61824	Adam12	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9R158	Adam26a	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q01337	Adra2c	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9R1V6	Adam22	Axon,Cell projection,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Axon,Cell projection,Cell membrane
P97718	Adra1a	Cytoplasm,Cell membrane,Caveola,Nucleus membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Cell membrane,Caveola,Nucleus membrane,Membrane
O88839	Adam15	Flagellum,Cell projection,Endomembrane system,Secretory vesicle,Adherens junction,Cilium,Cytoplasmic vesicle,Acrosome,Cell junction	Single-pass type I membrane protein	Single-pass type I membrane protein,Flagellum,Cell projection,Endomembrane system,Secretory vesicle,Adherens junction,Cilium,Cytoplasmic vesicle,Acrosome,Cell junction
P37172	Acvr1	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
O35227	Adam7	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9R1V7	Adam23	Secreted,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Cell membrane
P30545	Adra2b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9R160	Adam24	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q80SY6	Adal			
Q5SUE7	Adad1	Nucleus		Nucleus
Q9R159	Adam25	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q05910	Adam8	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9JLN6	Adam28	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9D5P4	Adad2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8C0I1	Agps	Peroxisome membrane,Peroxisome		Peroxisome membrane,Peroxisome
P97717	Adra1b	Cytoplasm,Cell membrane,Caveola,Nucleus membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Cell membrane,Caveola,Nucleus membrane,Membrane
Q811Q4	Adam29	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9Z0F8	Adam17	Secreted,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Cell membrane
Q60718	Adam2	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
O35598	Adam10	Clathrin-coated vesicle,Cell projection,Cytoplasm,Adherens junction,Axon,Golgi apparatus membrane,Cytoplasmic vesicle,Cell membrane,Cell junction,Dendrite	Single-pass type I membrane protein	Single-pass type I membrane protein,Clathrin-coated vesicle,Cell projection,Cytoplasm,Adherens junction,Axon,Golgi apparatus membrane,Cytoplasmic vesicle,Cell membrane,Cell junction,Dendrite
Q8K410	Adam32	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q61072	Adam9	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
F8VQ03	Adam3	Cell membrane	Single-pass membrane protein	Cell membrane,Single-pass membrane protein
P97714	Adra1d	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9R157	Adam18	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q923W9	Adam33	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q01338	Adra2a	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9JHI2	Adat1			
O35674	Adam19	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q8R2V5	Adap2	Cytoplasm,Cell membrane		Cytoplasm,Cell membrane
Q3TTE0	Adam5	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9D0L4	Adck1	Secreted		Secreted
P03958	Ada	Cytoplasm,Lysosome,Cytoplasmic vesicle lumen,Cell junction,Cell membrane	Peripheral membrane protein	Cytoplasm,Peripheral membrane protein,Lysosome,Cytoplasmic vesicle lumen,Cell junction,Cell membrane
Q6NSR3	Adck2	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
P84309	Adcy5	Cilium,Cell projection,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cilium,Cell projection,Cell membrane
Q6P6J0	Adat2			
Q80V03	Adck5	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q6PAT0	Adat3			
A2A7Z8	Aadacl3	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8BM81	Aadacl4	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q01341	Adcy6	Cilium,Stereocilium,Cell projection,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Cilium,Cell membrane,Stereocilium
O88444	Adcy1	Membrane raft,Cytoplasm,Cell membrane,Membrane	Multi-pass membrane protein	Membrane raft,Multi-pass membrane protein,Cytoplasm,Cell membrane,Membrane
P51829	Adcy7	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q80TL1	Adcy2	Cytoplasm,Cell membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Cell membrane,Membrane
Q9QYC0	Add1	Cytoskeleton,Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoskeleton,Cytoplasm,Cell membrane,Peripheral membrane protein
P97490	Adcy8	Membrane raft,Caveola,Cell projection,Synapse,Axon,Clathrin-coated vesicle membrane,Apical cell membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Coated pit,Basolateral cell membrane,Presynaptic cell membrane,Dendrite,Membrane,Postsynaptic density	Multi-pass membrane protein	Membrane raft,Multi-pass membrane protein,Caveola,Cell projection,Synapse,Axon,Clathrin-coated vesicle membrane,Apical cell membrane,Cytoplasmic vesicle,Cell junction,Cell membrane,Coated pit,Basolateral cell membrane,Presynaptic cell membrane,Dendrite,Membrane,Postsynaptic density
Q8VHH7	Adcy3	Cell projection,Cytoplasm,Golgi apparatus,Cilium,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Cytoplasm,Golgi apparatus,Cilium,Cell membrane
P51830	Adcy9	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q91WF3	Adcy4	Cytoplasm,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cytoplasm,Cell membrane
Q9QYB8	Add2	Cytoskeleton,Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoskeleton,Cytoplasm,Cell membrane,Peripheral membrane protein
Q9QYB5	Add3	Cytoskeleton,Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoskeleton,Cytoplasm,Cell membrane,Peripheral membrane protein
Q8C0T9	Adcy10	Mitochondrion,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Perinuclear region,Cilium,Cell membrane	Peripheral membrane protein	Mitochondrion,Cell projection,Cytoplasm,Cytoskeleton,Nucleus,Perinuclear region,Cilium,Cell membrane,Peripheral membrane protein
Q9R0X2	Adamdec1	Secreted		Secreted
G3UZ78	Adgb			
P00329	Adh1	Cytoplasm		Cytoplasm
Q64437	Adh7	Cytoplasm		Cytoplasm
Q9QYY9	Adh4	Cytoplasm		Cytoplasm
Q8R400	Adig	Nucleus,Membrane	Single-pass membrane protein	Nucleus,Membrane,Single-pass membrane protein
P28474	Adh5	Cytoplasm		Cytoplasm
P55264	Adk	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8VDL4	Adpgk	Secreted		Secreted
Q9Z103	Adnp	Nucleus		Nucleus
P54923	Adprh			
Q8R2Z0	C1qtnf12	Secreted		Secreted
P97297	Adm	Secreted		Secreted
Q99KS6	Adprm			
Q9CQF6	Aasdhppt	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q60813	Adam1a	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q8R534	Adam1b	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q8CHC8	Adnp2	Nucleus		Nucleus
Q60994	Adipoq	Secreted		Secreted
Q7TNK8	Adm2	Secreted		Secreted
P25962	Adrb3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VC66	Ssx2ip	Centrosome,Cytoplasm,Cilium basal body,Adherens junction,Cytoskeleton,Microtubule organizing center,Nucleus,Cell junction,Centriolar satellite		Centrosome,Cytoplasm,Cilium basal body,Adherens junction,Cytoskeleton,Microtubule organizing center,Nucleus,Cell junction,Centriolar satellite
Q8CG72	Adprs	Mitochondrion matrix,Nucleus,Cytoplasm,Chromosome		Mitochondrion matrix,Nucleus,Cytoplasm,Chromosome
Q9JKV1	Adrm1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q3V132	Slc25a31	Flagellum membrane,Cell projection,Cilium,Mitochondrion inner membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Flagellum membrane,Cell projection,Cilium,Mitochondrion inner membrane,Membrane
P51881	Slc25a5	Mitochondrion inner membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane,Membrane
Q8C138	Adtrp	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P46656	Fdx1	Mitochondrion matrix		Mitochondrion matrix
Q6PDY2	Ado			
P34971	Adrb1	Early endosome,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Cell membrane
Q61578	Fdxr	Mitochondrion inner membrane	Peripheral membrane protein	Mitochondrion inner membrane,Peripheral membrane protein
A2AJA7	Mamdc4	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
P18762	Adrb2	Early endosome,Golgi apparatus,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Early endosome,Golgi apparatus,Cell membrane
P48962	Slc25a4	Mitochondrion inner membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane,Membrane
Q640N1	Aebp1	Secreted,Nucleus,Cytoplasm		Secreted,Nucleus,Cytoplasm
Q9CZI9	Aen	Nucleolus,Nucleus		Nucleolus,Nucleus
Q9Z248	Aebp2	Nucleus		Nucleus
Q8BZI0	Afap1l1	Invadopodium,Cell projection,Cytoplasm,Stress fiber,Podosome,Cytoskeleton		Invadopodium,Cell projection,Cytoplasm,Stress fiber,Podosome,Cytoskeleton
Q9QZQ1	Afdn	Adherens junction,Cell junction		Adherens junction,Cell junction
O54826	Mllt10	Nucleus		Nucleus
O88573	Aff1	Nucleus		Nucleus
Q3V384	Afg1l	Mitochondrion membrane		Mitochondrion membrane
O55112	Aff2	Nucleus speckle		Nucleus speckle
Q5DTU0	Afap1l2	Cytoplasm		Cytoplasm
P51827	Aff3	Nucleus		Nucleus
A2AM29	Mllt3	Nucleus,Chromosome		Nucleus,Chromosome
P97783	Mllt11	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus
Q3UMC0	Spata5	Cytoskeleton,Mitochondrion,Spindle,Cytoplasm		Cytoskeleton,Mitochondrion,Spindle,Cytoplasm
O89020	Afm	Secreted		Secreted
Q9ESC8	Aff4	Nucleus		Nucleus
Q920A7	Afg3l1	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q80YS6	Afap1	Cytoskeleton,Stress fiber,Cytoplasm		Cytoskeleton,Stress fiber,Cytoplasm
Q80WT5	Aftph	Clathrin-coated vesicle,Cytoplasmic vesicle,Cytoplasm,Perinuclear region		Clathrin-coated vesicle,Cytoplasmic vesicle,Cytoplasm,Perinuclear region
Q8JZQ2	Afg3l2	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q3UGP8	Alg10b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q7TN31	Aggf1	Secreted,Cytoplasm		Secreted,Cytoplasm
Q8BXK8	Agap1	Cytoplasm		Cytoplasm
P51569	Gla	Lysosome		Lysosome
Q8K2K6	Agfg1	Cytoplasmic vesicle,Nucleus		Cytoplasmic vesicle,Nucleus
Q3UHD9	Agap2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q80WC7	Agfg2			
Q9ESW4	Agk	Mitochondrion inner membrane,Mitochondrion intermembrane space	Peripheral membrane protein	Mitochondrion inner membrane,Mitochondrion intermembrane space,Peripheral membrane protein
Q8VHH5	Agap3	Cytoplasm		Cytoplasm
