acc	gene	location	topology	both
P53798	Fdft1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q9Z2G0	Fem1b	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9CPW2	Fdx2	Mitochondrion matrix		Mitochondrion matrix
Q3UY23	Fdxacb1			
Q8CEF1	Fem1c			
P39749	Fen1	Nucleolus,Mitochondrion,Nucleus,Nucleoplasm		Nucleolus,Mitochondrion,Nucleus,Nucleoplasm
Q923Z4	Ferd3l	Nucleus		Nucleus
P59113	Fermt1	Ruffle membrane,Cell projection,Cytoplasm,Cytoskeleton,Cell junction,Focal adhesion	Peripheral membrane protein	Ruffle membrane,Cell projection,Cytoplasm,Cytoskeleton,Cell junction,Peripheral membrane protein,Focal adhesion
P70451	Fer	Cell projection,Cytoplasm,Cell cortex,Cytoskeleton,Nucleus,Cell junction,Cell membrane,Membrane	Peripheral membrane protein	Cell projection,Cytoplasm,Cell cortex,Cytoskeleton,Peripheral membrane protein,Nucleus,Cell junction,Cell membrane,Membrane
Q8CIB5	Fermt2	Cell projection,Stress fiber,Cytoplasm,Cell cortex,I band,Cytoskeleton,Cell surface,Nucleus,Myofibril,Sarcomere,Lamellipodium membrane,Cell junction,Focal adhesion,Membrane	Peripheral membrane protein	Cell projection,Stress fiber,Cytoplasm,Cell cortex,I band,Cytoskeleton,Cell surface,Nucleus,Myofibril,Sarcomere,Lamellipodium membrane,Cell junction,Peripheral membrane protein,Focal adhesion,Membrane
P16879	Fes	Golgi apparatus,Cytoplasm,Cytoskeleton,Cytosol,Cytoplasmic vesicle,Cell membrane,Cell junction,Focal adhesion	Peripheral membrane protein	Golgi apparatus,Cytoplasm,Cytoskeleton,Cytosol,Peripheral membrane protein,Cytoplasmic vesicle,Cell membrane,Cell junction,Focal adhesion
P02772	Afp	Secreted		Secreted
Q9QXC1	Fetub	Secreted		Secreted
Q6TYB5	Fez2			
Q8VCK6	Ffar2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q0VDQ9	Fezf1	Nucleus		Nucleus
Q91ZT5	Fgd4	Cytoskeleton,Filopodium,Cell projection,Cytoplasm		Cytoskeleton,Filopodium,Cell projection,Cytoplasm
Q8QZW2	Fev	Nucleus		Nucleus
P70377	Fgf13	Growth cone,Filopodium,Cell projection,Cytoplasm,Nucleus,Sarcolemma,Cell membrane,Dendrite		Growth cone,Filopodium,Cell projection,Cytoplasm,Nucleus,Sarcolemma,Cell membrane,Dendrite
P29699	Ahsg	Secreted		Secreted
Q3UFD7	Ffar3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
