inchi_key	conc	cells	nuclei	prp	gfp
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.199424415	GFP	1119	-3.587200622	-1.311869169
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.199424415	GFP	897	0.388092294	1.253906811
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.199424415	GFP	879	1.632151389	-1.405764808
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.199424415	GFP	938	1.636824315	1.290320205
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.199424415	GFP	755	-1.265820722	0.077937942
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.199424415	GFP	807	0.638561139	-0.292114219
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.199424415	GFP	659	0.457856342	0.480707387
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.199424415	GFP	701	-0.442944232	-0.242127294
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.199424415	GFP	657	0.192354894	-0.676864098
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.199424415	GFP	739	-0.980730857	-1.699847657
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.199424415	GFP	771	0.993259106	1.913995437
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.199424415	GFP	885	-1.502388155	0.683125226
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.199424415	GFP	788	0.644884087	0.935671172
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.199424415	GFP	923	-3.747136131	0.929182589
	NA	GFP	650	-1.127000085	-2.370987492
	NA	GFP	864	-1.121927174	-13.72235931
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.063018115	GFP	849	-2.491282309	-0.593537228
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.063018115	GFP	815	0.684613962	-0.617221008
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.063018115	GFP	790	1.804982251	0.922191791
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.063018115	GFP	691	-0.888452703	-1.509292359
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.063018115	GFP	870	0.439356677	-0.582697671
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.063018115	GFP	875	2.465651685	2.207894011
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.063018115	GFP	808	3.468080922	1.776610806
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.063018115	GFP	740	0.982423317	-0.807029848
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.063018115	GFP	807	1.264710186	1.374575954
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.063018115	GFP	876	0.359984746	1.227202905
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.063018115	GFP	708	-0.316499346	-0.657275612
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.063018115	GFP	799	0.141110047	0.991290359
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.063018115	GFP	778	1.11971891	0.813750386
