Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Membrane_Intensity_MedianIntensity_CorrPrP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Category1_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,total.count_value
VH97007019,,35979,17,30,SA,BZZYIHQWCXHSMZ-FMSKOOSDSA-N,SOL1238787C,AEOS01138800,20.0 ,uM ,-3.509346805191787,1.1130301714677333,-4.049548416415134,-2.2344829754899327,-1.1047838302228272,1.4644940563888091,-1.201910955642686,-0.40631652830434634,0.20731410267176562,0.2635282076730439,0.788137414924019,0.18154074769867456,0.534006443957024,2.2747365315111567,1.3357106042224627,-3.6890096711343565,-2.1720498560776558,-0.7283855161134973,602.0
VH97007019,,35979,17,33,SA,VOASEWXFCTZRDF-UHFFFAOYSA-N,SOL1242E355,AEOS01138800,20.0 ,uM ,-10.189305516197356,-17.97942457402418,1.7753646343043148,19.899928677910033,-3.932730797091173,-0.9769081604356761,1.596801333461256,11.302921663383348,-3.995767505534197,2.7465257877478115,-13.237984166740212,0.2524174497535482,-1.3626382727157804,-1.0687992423705759,-2.059294147897661,-0.3582373144762733,-1.4510903458091724,0.9396403463858896,281.0
VH97007019,,35979,17,36,SA,KXSNSVDPSDYDHW-HXUWFJFHSA-N,SOL121F59AE,AEOS01138800,20.0 ,uM ,-1.2294030782272094,1.2454604509363203,-2.556017575276738,-0.999094880480931,-1.2144398765096613,-0.34091589631927266,-1.2958679076993886,-1.1457135343115714,3.389785286062556,8.020690745210079,-3.404582708307334,4.079785502772938,0.5726392939853576,-0.18427094626675136,1.6220270716850633,-0.7137166469759373,0.6148216659788628,-1.0978521262114544,791.0
VH97007019,,35979,17,39,SA,CLGRAWDGLMENOD-UHFFFAOYSA-N,SOL124D11F9,AEOS01138800,20.0 ,uM ,-3.9396646913616173,-1.810876686138105,0.6027031556208718,4.223425898405634,-3.023773777583064,-2.420205143209852,-1.3593802396195407,-0.871015629857371,-0.07188998129224097,-4.163577277296069,3.2642259901756985,-1.1291696409484968,1.7394819154304904,1.5249766860100622,-1.6904548696602921,-1.5014953788788084,1.7473891150543712,1.9938459355825413,650.0
VH97007019,,35979,17,42,SA,XYUYSDBKGVJSKN-UHFFFAOYSA-N,SOL124EB472,AEOS01138800,20.0 ,uM ,-11.206417721715054,-27.02572579979125,-6.9784785708671375,-3.322827245524557,-4.416884742605596,-4.822547069655102,22.883943292987823,99.49702513336705,-4.908457790753007,,-21.92612803030021,,-2.683503426766396,-1.5838248313480952,,-10.729052713341128,,0.024555666926062515,244.0
VH97007019,,35979,17,45,NC,,,AEOS01138800,,,0.1976533280412266,0.3252735271233709,-0.3176800510999269,-0.05221191631120721,-0.31766514404522156,-0.3607072011233373,0.21539723985563838,0.05994381285906928,1.8486300451184476,1.337232169495315,0.19197447547685226,0.9454085286955739,-0.6711158984674782,0.8577266853516018,0.05681511057276605,-0.9102296306765727,1.3638065037196836,0.38152596509400527,942.0
VH97007019,,35979,17,48,R2,,,AEOS01138800,,,-8.304459789721987,-22.877057351234615,-5.5055855320018665,-5.557703592938475,52.799746221735056,55.68323884671373,25.47156176628241,22.46132442701758,-0.7133016327638163,1.9557658249711618,5.584470617255301,1.7109099386927762,0.1431382201801606,-5.28659161778565,-13.020575245627374,-9.630560745771765,-0.15597997684923426,-0.7046904041504505,1033.0
VH97007019,,35979,18,3,SA,NEQSWPCDHDQINX-MRXNPFEDSA-N,SOL1208057A,AEOS01138800,20.0 ,uM ,-1.6016548633578847,-2.805530700627869,1.4862794419346526,2.780101741405756,0.1760119090730231,0.595228862039247,0.6027239950236918,0.9456141632918569,-0.13603103080177625,-2.324457802944042,0.3323867433850025,-0.3128950444670591,0.12480697564226922,1.3633431634632034,-1.5746440341333663,0.12192367873313126,-1.15536857502885,-2.091347448244071,651.0
VH97007019,,35979,18,6,SA,TXZRKKQUOSAZKF-UHFFFAOYSA-N,SOL120824C6,AEOS01138800,20.0 ,uM ,0.04011791907763516,-0.3370323323924751,-1.0508983546687822,-1.1033795464683789,0.8850741039896178,0.4348285126497146,1.034290066502078,0.9489840020317405,-0.4045179184847385,0.2462353605711533,0.5001289851466594,1.6287391237679314,-0.010551952608974862,-0.8064542196756018,0.970214927563694,-0.5708934638044378,-0.22459258358055623,0.41680392743386063,729.0
VH97007019,,35979,18,9,SA,GXWKSXUPEFVUOO-UHFFFAOYSA-N,SOL123EE25A,AEOS01138800,20.0 ,uM ,-5.035918736733727,-10.600494360022598,7.548083793408367,15.045958621932987,-2.330145512128307,-3.6932653804323334,-0.6648836502380933,-0.38553342563429527,-0.7545079440381307,-7.138902270633047,2.6933387711321553,-3.2620362494774944,-0.6063171036200332,-1.0222798316042845,-3.2771243589443984,-1.5723823298114914,1.7846480497124897,0.15426563633971876,506.0
