WellsConcentration,inchi_key,single-cell hit for GFP,non-tox? for GFP,GFP.PrPko.count_ratio for GFP,membrane PrP-/GFP+ hit for GFP,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_71767115,venn_x_coord_71767115,venn_y_coord_71767115,venn_cat_1791869146,venn_x_coord_1791869146,venn_y_coord_1791869146
10,OFEZSBMBBKLLBJ-BAJZRUMYSA-N,0,1,-0.432774556654158,0,-0.271964954667044,0.00352307513902789,-0.652985517224534,0.247645045015139,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,73-03-0,PAPOLA gene inhibitor,POLA1,CHEMBL305686,6303,MoA public,6303,WB-19-EN11,,0.5,1,,0.2,0.5
10,IXEPQJQQSLMESJ-UHFFFAOYSA-N,1,0,55.8462248051618,1,-9.71918887921863,4.32207613733825,-12.1935518268219,3.19782000987249,c1ccc(-c2ccc(CNCCNCc3ccc(-c4ccccn4)cc3)cc2)nc1,1507370-20-8,FBXO3 gene inhibitor,FBXO3,,72201045,MoA public,72201045,IA-94-MZ54,ABC,4,4.5,AB,4,2.5
10,YAFQFNOUYXZVPZ-UHFFFAOYSA-N,0,1,1.54008168800199,0,-0.821387722133627,-1.72448235275431,-1.36104989655423,-1.64261059210076,,,,,,,MoA public,20931416,FB-30-CD67,,0.5,1,,0.2,0.5
10,GKTWGGQPFAXNFI-UHFFFAOYSA-N,1,1,46.6774057350237,1,-8.86349945753576,3.07090523370767,-11.5203268923757,2.16426766608265,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,113665-84-2,P2RY12 antagonist,P2RY12,CHEMBL1333662,2806,MoA public,2806,AE-39-SG01,ABC,4,4.5,AB,4,2.5
10,HYWYRSMBCFDLJT-UHFFFAOYSA-N,0,1,0.294410729168451,0,0.286352329653041,0.236516170965166,-0.067460694554604,0.0740166538894658,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,1364966-82-4,Cyclooxygenase-2 Inhibitors,PTGS2,CHEMBL56367,4495,,,,,0.5,1,,0.2,0.5
10,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,1,0,29.7342716004031,1,-6.47930593877284,2.28592835110306,-9.719871141527,2.95198641846696,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,937174-76-0,Inhibitors of Signal Transduction Pathways;PKB alpha/Akt1 Inhibitors;PKB beta/Akt2 Inhibitors;PKB gamma/Akt3 Inhibitors,AKT1,CHEMBL494089,16725726,MoA public,16725726,NF-55-BZ66,ABC,4,4.5,AB,4,2.5
10,PHESISZXAITBIM-MRXNPFEDSA-N,0,0,-2.8623080950097,0,-13.6738904746039,-10.6739052594464,-17.5901401033254,-11.9020734787578,O=C(Nc1cc(-c2cccc(NCC3CCOCC3)n2)c(Cl)cn1)[C@@H]1CCCNC1,1270070-30-8,CDK9 inhibitor,CDK9,,67042933,MoA public,67042933,FA-18-EP85,,0.5,1,,0.2,0.5
10,VPHPQNGOVQYUMG-UHFFFAOYSA-N,0,1,-0.205638669080433,0,2.54229780611174,0.144460302077595,1.62132937239133,-0.186640512543983,COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,88678-31-3,Fungal Squalene Monooxygenase Inhibitors,SQLE,CHEMBL1591365,3936,MoA public,3936,OB-41-EW79,,0.5,1,,0.2,0.5
10,JOWMTYWOBJALGB-KYZUINATSA-N,0,1,1.4999781144527,0,-1.49041643936874,-0.54083719845079,-1.50053894423296,-0.608063593902849,C[C@H]1CC[C@H](C(=O)CCC(=O)O)CC1,195137-72-5,"""K(ATP) Channel Blockers;Insulin Secretagogues"";K(ATP) Channel Blockers;Insulin Secretagogues",KCNJ8,CHEMBL149959,,MoA public,6919095,TF-60-NH65,,0.5,1,,0.2,0.5
10,KOBHCUDVWOTEKO-VKHMYHEASA-N,0,1,1.88542605631265,0,-0.451393902654255,0.10863270015856,-0.59188811429289,0.0445696417479839,N=C(NO)NCC[C@H](N)C(=O)O,189302-40-7,,ARG1,CHEMBL1234777,446124,,,,,0.5,1,,0.2,0.5
10,HLCHESOMJVGDSJ-LOYHVIPDSA-N,0,1,1.20031845882584,0,-0.91357111228716,1.30751152157443,-1.93629042772947,1.77351307807405,O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCC(Cn2cncn2)(C2CCCCC2)CC1)[C@H]1Cc2ccccc2CN1,312637-48-2,Melanocortin MC4 Receptor Agonists,MC3R,CHEMBL339053,9938402,MoA public,9938402,PE-90-JV19,,0.5,1,,0.2,0.5
10,WXRGFPHDRFQODR-ICLZECGLSA-N,0,1,-0.48890198847025,0,0.192841294212646,0.669444783595319,0.425611212031108,0.776954122309867,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,1338466-77-5,Dot1L / KMT4;Histone methyltransferase inhibitors,DOT1L,CHEMBL2169919,56962336,,,,,0.5,1,,0.2,0.5
