Barcode,multiplexed_barcode,hcse_plate_id,Row,Column,well_type,inchi_key,solution_name,plate_name,concentration,units,GFP.PrP.count_value,GFP.PrP.count_ratio_value,GFP.PrPko.count_value,GFP.PrPko.count_ratio_value,GFPko.PrP.count_value,GFPko.PrP.count_ratio_value,GFPko.PrPko.count_value,GFPko.PrPko.count_ratio_value,Memb.intensity_unclassified.count_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_CorrPrP.Memb.intensity_unclassified.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFP.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrP.median_value,Membrane_Intensity_MedianIntensity_GFP.GFPko.PrPko.median_value,Membrane_Intensity_MedianIntensity_GFP.Memb.intensity_unclassified.median_value,total.count_value
VH97007017,,35977,14,47,R1,,,AEOS01138799,,,-9.17447339557345,-37.07406850286271,42.74531231998851,43.45215545390264,-3.9618421270825284,-3.940975567147982,22.216141394630178,20.251800264748276,-2.562916217997986,,-15.998788286149493,,-4.299323276510013,-61.948737179617375,,4.6430624271694585,,-0.8225827220753433,-3.925093948182398,820.0
VH97007017,,35977,15,2,SA,FUPKFFJNRCYVCY-AREMUKBSSA-N,SOL124084D1,AEOS01138799,0.006292736896584583 ,uM ,0.20759912911093203,-0.8702873411932139,0.39887016958354615,0.19020240288429802,2.0055231660367183,1.3112476284497294,1.8431883059174765,1.4463499881076525,0.2513878439556735,1.8040673682170076,0.3419788908421659,0.722020726300966,0.6424601134070413,0.5787032052817911,1.4390747455426904,-2.076162295038145,-2.9700236847073054,-1.115650848191118,-1.0885031434659471,872.0
VH97007017,,35977,15,5,SA,IYIGLWQQAMROOF-HHHXNRCGSA-N,SOL124084D7,AEOS01138799,0.006292736896584583 ,uM ,1.3103589795460928,0.6396532543664349,-0.3316699883751415,-0.968284437626341,-0.07479002916980956,-0.5286565522577408,-0.9265164517507283,-1.1607092597192925,-1.0890915420418523,2.660588521040744,0.20117105832108517,2.48050299952612,1.0572740158920948,0.21709676412541268,0.7567780923504216,0.2996903833604208,-0.5090702995972192,0.8450635998196813,1.3911745876792185,932.0
VH97007017,,35977,15,8,SA,LAYAEBGGDTWXAZ-RUZDIDTESA-N,SOL1245EA73,AEOS01138799,0.006292736896584583 ,uM ,0.13375042311031188,-0.9708688307050705,0.6736805364346763,0.2771566138203835,2.0458628184352468,1.335708834032052,2.377507119993059,1.8657463120794886,-1.1426689248522863,0.12706493825895793,0.5363260186985204,1.3591085267613174,1.4562315508983938,-3.5928709217831036,-0.0333385431694134,-0.9018393269274967,-0.29551352295504557,0.11328717792644992,-1.6746521493308615,863.0
VH97007017,,35977,15,11,SA,OONFNUWBHFSNBT-HXUWFJFHSA-N,SOL12082F71,AEOS01138799,0.006292736896584583 ,uM ,-0.15439719480476366,0.3753023264142119,-0.7926111054010592,-0.9172168174247494,2.0734619552472493,1.6441309107101805,-0.9490728250814022,-0.8817154717024511,0.8385039457404863,0.7915887684366835,0.4283515009375667,0.10549600729435198,2.226737243524643,0.9502299827210952,0.3024491790512853,-1.1969295483426063,-0.031258595876532146,0.09215881808827843,1.0498541666437746,806.0
VH97007017,,35977,15,14,SA,XBJHBEQDHSREQB-QHCPKHFHSA-N,SOL1247F40D,AEOS01138799,0.006292736896584583 ,uM ,0.9257811024419695,-0.05582258966775795,1.1217664436567978,0.28865772937991896,-0.38149187956472846,-1.006103621623062,-0.7321158389523493,-0.8666461436651696,0.4502005378556707,-0.35639548193850484,-0.4821290769218276,0.912851804034666,1.0407672533931804,-1.1849307523726211,1.8075935937907668,-1.1700067683633626,0.34738059597220045,2.223067438606348,0.055066634552729914,895.0
VH97007017,,35977,15,17,SA,GMGMDWSPSKXMJH-OAQYLSRUSA-N,SOL12083003,AEOS01138799,0.006292736896584583 ,uM ,0.19744981078342783,-0.4117864808411918,0.31941614660525963,-0.11401107310791472,4.772624660091707,3.5115345153191693,-0.9249221045891871,-0.7942069937512601,1.303074146512503,-0.10804086886818855,-0.9992394111802477,-0.43366436893053895,-0.25334699103389846,1.2553047132977913,-0.30037134352967937,-0.37362359660024763,0.842020927008295,0.15655860771428054,0.6489082029588166,842.0
VH97007017,,35977,15,20,SA,GGPZCOONYBPZEW-UHFFFAOYSA-N,SOL12488050,AEOS01138799,0.006292736896584583 ,uM ,0.6573891275619091,0.28598086853280086,0.10851786845487106,-0.286447342698153,-0.23731769472503325,-0.8238048739703571,-0.9953258884235014,-0.959768519758513,-2.713508678291498,2.7859498712740054,0.6504530531078961,0.6705956136669532,-0.393457149565921,1.64525209166119,-0.6180581718320107,-0.8309529559425136,-0.37526741432218674,-0.23033816946523153,1.5514080855331651,855.0
VH97007017,,35977,15,23,SA,QPKKAIMODKGHRH-UHFFFAOYSA-N,SOL12514077,AEOS01138799,0.006292736896584583 ,uM ,-0.2874196317995751,1.0708516497641483,-1.4660562736981786,-1.2344178817797957,-3.5646084194100065,-3.2555920857587055,0.980681546861317,1.2493607248813439,-1.1641663797169428,2.191447289278574,-1.7744841737108952,-0.36474875860336353,1.0839592659739674,1.3778380551923,0.3692888087320753,-0.5831445895087264,1.1446146125273726,-0.48755310289900344,1.3884368722783988,774.0
VH97007017,,35977,15,26,SA,KASDHRXLYQOAKZ-XDSKOBMDSA-N,SOL123C866B,AEOS01138799,0.006292736896584583 ,uM ,-0.099240634436338,-0.6886357822998598,0.36134250979737254,0.502477649630889,-0.37808234686710923,-0.6046488200501625,0.34207475252535563,0.31457431855767815,3.753563849689522,-0.38546667063875245,1.0985989188776275,-0.5053739067370697,-0.10232035998940175,1.0011575750407022,-1.5135124680564798,0.9915422606653468,0.8625140148403089,2.3981938172339405,0.7415704469250306,837.0
VH97007017,,35977,15,29,SA,STRAIBOPIVXLQO-UHFFFAOYSA-N,SOL121F2EBC,AEOS01138799,0.006292736896584583 ,uM ,0.15184235135400104,-2.2809084731641547,1.4664051311359407,1.2122208772442225,4.4530409830667175,3.051732342417215,4.174640948219965,3.4326924961172587,0.5921284429114807,-1.4485702086777201,-1.153013118075183,0.302010715861783,-0.480420323792246,-0.1476327957020192,-1.8063728979779488,-2.5907819727111177,-0.3393232866020239,-0.7364688283577422,-0.9888141469621341,862.0
VH97007017,,35977,15,32,SA,ULFUJLFTRWWLPO-UHFFFAOYSA-N,SOL124C945E,AEOS01138799,0.006292736896584583 ,uM ,0.8255109005885942,0.9730009340219984,-1.5331449586602914,-1.7755282314348921,1.4382214789346828,0.6792557682554659,-1.466262363179302,-1.5232145134468194,-2.4049807058846113,1.0199596592257365,0.41015633537492435,-0.2443371228955284,0.04312683801570288,-0.6521529156798017,1.0930314612073972,0.1742920187525759,-1.3753236954378607,-3.1176209472467766,0.08020687714223752,813.0
VH97007017,,35977,15,35,SA,JRSGZNKDLJKFKK-XMMPIXPASA-N,SOL1239C0BB,AEOS01138799,0.006292736896584583 ,uM ,1.7714875229354572,0.8333283755066647,-0.8138561253194706,-1.5294719809091153,0.9267930746405443,-0.06496834115079235,-0.7509625232593246,-1.0733769322857711,1.085078366405463,-0.33967027321008764,-2.5151066949941474,0.1699069140624598,-0.2719860248356269,1.493487890757675,-0.28723196616901636,2.0077354204137734,-1.1047591755634425,-1.3063346311630233,0.9285348984899955,891.0
VH97007017,,35977,15,38,SA,RQFYFNAGNBUGFC-UHFFFAOYSA-N,SOL1245ECB2,AEOS01138799,0.006292736896584583 ,uM ,-0.0609159267016514,0.057557927638301705,-0.8032106502992435,-0.8385623883934704,0.9546926547530415,0.7374606735050256,-0.2908325430889417,0.011961525563324867,-0.9527488068359437,0.6433345447415308,-0.018188232166704718,-0.1591031640947481,0.6790036311280955,1.0848008423026396,1.2444013526000357,2.243592122673842,0.8886863648963509,-3.2566704254246255,0.204577440284311,739.0
VH97007017,,35977,15,41,SA,CEUMAXLRGBKFQP-UHFFFAOYSA-N,SOL1247B1C7,AEOS01138799,0.006292736896584583 ,uM ,-0.21494243047385794,-0.1718827190719999,-0.714468422299984,-0.7062371607572387,1.2984533415788537,1.1476862647817252,0.8748260869652534,1.2242696471435623,1.2507238722236393,-0.6687954842296019,-0.08314583788784044,1.0235404641589834,1.9406771031282544,-1.4948456292314445,-1.9141101934093296,1.0785472932353322,-1.2290961260088338,-1.952665100047782,0.10468401886641114,735.0
