WellsConcentration,inchi_key,single-cell hit for GFP-GPI,non-tox? for GFP-GPI,GFP.PrPko.count_ratio for GFP-GPI,membrane PrP-/GFP+ hit for GFP-GPI,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_1578008438,venn_x_coord_1578008438,venn_y_coord_1578008438
1,CDQUJZKBRAFWNG-UHFFFAOYSA-N,0,1,-0.328526182864477,0,0.401880032447693,0.00118880430824864,-0.173438363355828,-0.125568505683287,O=[N+]([O-])c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12,1422955-31-4,HIF-2;HIF-2 Inhibitor,EPAS1,CHEMBL2311933,70697712,MoA public,70697712,ID-26-HX79,,0.2,0.5
1,AXRCEOKUDYDWLF-UHFFFAOYSA-N,0,1,0.354906088396234,0,-0.59495308108266,-0.840965295958277,-1.57032053169104,-0.821230207692684,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,170364-57-5,Inhibitors of Signal Transduction Pathways;Protein Kinase PKC beta Inhibitors;Angiogenesis Inhibitors,PRKCB,CHEMBL2107337,176166,MoA public,176166,PA-23-FD83,,0.2,0.5
1,AWDORCFLUJZUQS-ZDUSSCGKSA-N,0,1,-0.349603958272525,0,0.416092561630119,-0.95524068386622,-0.380808382367836,-1.1192059680897,Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12,451462-58-1,ROCK gene inhibitor;PKC Kinase nhibitor,PRKACA,CHEMBL406821,448043,,,,,0.2,0.5
1,UGLLZXSYRBMNOS-UHFFFAOYSA-N,0,1,0.404756361930821,0,-0.769715251871998,0.232883863002157,-1.08564290294718,0.339948817782488,NS(=O)(=O)c1ccc2c(c1)CNCC2,31404-61-2,,PNMT,CHEMBL26717,5226,MoA public,5226,OA-08-PX43,,0.2,0.5
1,CBOJJLBUFHIFCB-UHFFFAOYSA-N,0,1,-0.138908486103204,0,-0.46507378617008,-1.12591536616233,-0.924525096212298,-0.924118013384043,CN1CCN(C(=O)Cn2c(=O)c3ccccc3n(CC(=O)Nc3cc(Cl)nc(Cl)c3)c2=O)CC1,1052722-94-7,S1PR2 antagonist;S1PR4 antagonist,S1PR4,,59317685,MoA public,59317685,GE-57-FE31,,0.2,0.5
1,DUFKTZBQJIHIAQ-VGZDNEPHSA-N,0,1,-0.721084113437386,0,-0.53601062838705,-1.4329300366965,-0.18354693826582,-1.4565882074581,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CCN(Cc2ccc(F)cc2)C[C@H]1C,685534-25-2,Chemokine CCR1 Antagonists,CCR1,CHEMBL198949,11743399,MoA public,11743399,RC-43-UQ19,,0.2,0.5
1,RVKFQAJIXCZXQY-CBZIJGRNSA-N,0,1,0.186207618585493,0,-1.04866904839988,-0.68464927171276,0.545510411884741,0.062905873560801,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,148672-09-7,Estrogen Receptor (ER) Agonists;Steryl Sulfatase Inhibitors,STS,CHEMBL122708,127676,MoA public,127676,KE-93-TR02,,0.2,0.5
1,LMYRWZFENFIFIT-UHFFFAOYSA-N,0,1,-0.217246524626099,0,-0.431068202765678,0.322985932844761,-0.427882771841626,0.627403903526442,Cc1ccc(S(N)(=O)=O)cc1,12552-95-3,Carbonic Anhydrase Type II Inhibitors;Carbonic Anhydrase Type III Inhibitors,CA2,CHEMBL574,6269,MoA public,6269,ME-97-QG45,,0.2,0.5
1,XXPANQJNYNUNES-UHFFFAOYSA-N,0,1,0.660550606062544,0,0.0939772475646735,-0.690030501027106,-0.597577322140216,-0.938918202649567,CN1Cc2c(N)cccc2C(c2ccccc2)C1,118184-50-2,Dopamine Reuptake Inhibitors;Norepinephrine Reuptake Inhibitors,SLC6A2,CHEMBL1256842,4528,MoA public,4528,UA-04-WQ76,,0.2,0.5
1,HJJPJSXJAXAIPN-UHFFFAOYSA-N,0,1,5.51992734314044,0,-1.9500598063884,0.0797522855582871,-3.40521983650911,-0.0997048133889761,COC(=O)C1=CCCN(C)C1,131448-18-5,Muscarinic Receptor Agonists;Potassium Channel Subfamily K Member 18 (TRESK KCNK18) Blockers,CHRM1,CHEMBL449209,2230,,,,,0.2,0.5
1,KRWMERLEINMZFT-UHFFFAOYSA-N,0,1,-0.55042913644595,0,0.165006258883469,-0.87436990089097,-0.0591579745328432,-0.864522038004545,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,1000874-21-4,O6-Alkylguanine-DNA Alkyltransferase (MGMT) Inhibitors,MGMT,CHEMBL130333,4578,MoA public,4578,JF-97-BK00,,0.2,0.5
1,WQOVUXDYBFHIHS-WBANQOEISA-N,0,1,0.728079374231712,0,-0.80162621046151,-0.0848077084227078,-1.30907745980213,-0.142105655813125,C[N@+]1(CCOc2ccccc2)CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1,,Muscarinic M3 Antagonists,CHRM3,,,MoA public,67196283,TB-72-OZ78,,0.2,0.5
1,NDMDQWQVLLPKLR-JOCHJYFZSA-N,0,1,-0.734752737797101,0,-0.353979536714939,-0.546598810414557,-0.800256153964831,-0.283839870529872,O=C(O)C[C@@H](CC1CCCC1)C(=O)N(c1nc(-c2ccccc2-c2ccc(N3CCCC3=O)nc2)cs1)C1CC1,1229364-35-5,"Free Fatty Acid Receptor 2 (FFAR2|  GPR43) Ligands;FFAR2 agonist;""Free Fatty Acid Receptor 2 (FFAR2|  GPR43) Ligands;FFAR2 agonist""",FFAR2,,46234887,MoA public,46234887,RE-23-EN67,,0.2,0.5
1,XRKYMMUGXMWDAO-UHFFFAOYSA-N,0,1,-0.748889331032246,0,-0.0877266545473811,-1.82621843359838,-0.49991051898817,-1.81034877148796,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,587871-26-9,ATM Kinase Inhibitors;DNA Repair Inhibitors,ATM,CHEMBL222102,5278396,,,,,0.2,0.5
1,CXOCENPNQSXLGZ-UHFFFAOYSA-N,0,1,0.53173845622192,0,0.0215450326472759,1.57080222624441,-0.485748717859207,1.58315242071998,COC(=O)c1sccc1NC(=O)Cc1cccs1,676594-38-0,SAPK1a (JNK2) Inhibitors;SAPK1b (JNK3) Inhibitors;SAPK1c (JNK1) Inhibitors,MAPK8,CHEMBL1288895,2808202,MoA public,2808202,FB-06-IU47,,0.2,0.5
1,ZPMNHBXQOOVQJL-UHFFFAOYSA-N,0,1,-0.187122095393274,0,-1.03550096229916,0.00586453695742223,-1.10848682699284,-0.00718042548755937,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,179474-80-7,5-HT4 Agonists,HTR4,CHEMBL117287,3052762,MoA public,3052762,EA-38-JF51,,0.2,0.5
1,ADZBMFGQQWPHMJ-WMLDXEAASA-N,0,1,1.32634015516962,0,-0.173282847841343,0.555582228469501,-0.93315093882869,0.326038892816917,CNC(=O)c1cc(Oc2ccc3nc(N[C@H]4CCCC[C@H]4O)sc3c2)ccn1,,CSF1R gene antagonist,CSF1R,,57725443,MoA public,57725464,RA-16-CP49,,0.2,0.5
